pickup_weekday,pickup_hour,trip_count,avg_fare
Mon,0,11989,22.47
Mon,1,9832,21.59
Mon,2,7711,20.09
Mon,3,5999,21.21
Mon,4,4303,23.23
Mon,5,3828,25.86
Mon,6,7125,23.49
Mon,7,12645,19.91
Mon,8,16930,18.66
Mon,9,18139,19.08
Mon,10,19187,19.34
Mon,11,20725,18.25
Mon,12,23047,18.19
Mon,13,23734,19.36
Mon,14,26612,20.44
Mon,15,27326,19.69
Mon,16,26555,20.29
Mon,17,28113,18.77
Mon,18,28519,17.65
Mon,19,23532,19.16
Mon,20,20480,19.62
Mon,21,18216,20.25
Mon,22,13746,22.73
Mon,23,9984,25.83
Tue,0,6415,25.18
Tue,1,2652,26.24
Tue,2,1298,24.11
Tue,3,961,26.57
Tue,4,1205,30.11
Tue,5,3078,28.04
Tue,6,7879,21.43
Tue,7,17145,18.67
Tue,8,22868,18.29
Tue,9,23598,18.87
Tue,10,23969,19.17
Tue,11,25455,18.41
Tue,12,25961,18.86
Tue,13,26814,18.79
Tue,14,29641,19.27
Tue,15,30593,18.89
Tue,16,29910,19.47
Tue,17,34213,17.8
Tue,18,35399,16.61
Tue,19,29015,16.75
Tue,20,26098,17.37
Tue,21,27423,17.56
Tue,22,20483,18.99
Tue,23,11591,22.0
Wed,0,6644,24.78
Wed,1,2689,24.29
Wed,2,1664,23.59
Wed,3,1123,27.88
Wed,4,1300,34.04
Wed,5,3279,27.82
Wed,6,7981,20.61
Wed,7,17897,17.65
Wed,8,25007,17.44
Wed,9,25298,17.84
Wed,10,24213,18.5
Wed,11,25532,18.39
Wed,12,27541,18.45
Wed,13,28233,18.98
Wed,14,30497,19.29
Wed,15,31692,19.47
Wed,16,31422,19.48
Wed,17,35662,17.82
Wed,18,37915,16.64
Wed,19,32148,17.13
Wed,20,29534,17.71
Wed,21,29078,17.73
Wed,22,23999,18.72
Wed,23,14684,20.88
Thu,0,5673,23.2
Thu,1,2627,19.86
Thu,2,1503,19.63
Thu,3,1089,25.15
Thu,4,1112,28.43
Thu,5,2577,25.97
Thu,6,6542,20.52
Thu,7,14086,17.82
Thu,8,20369,17.45
Thu,9,20654,17.57
Thu,10,20137,18.55
Thu,11,20641,18.6
Thu,12,22062,18.78
Thu,13,22608,19.37
Thu,14,24870,20.13
Thu,15,26911,19.69
Thu,16,27164,19.87
Thu,17,31533,18.46
Thu,18,33887,16.91
Thu,19,28975,17.57
Thu,20,26035,17.97
Thu,21,27069,18.11
Thu,22,24114,18.49
Thu,23,16355,20.09
Fri,0,8804,19.9
Fri,1,4805,18.99
Fri,2,2649,16.99
Fri,3,1773,19.62
Fri,4,1495,25.99
Fri,5,2619,27.14
Fri,6,6284,21.78
Fri,7,13043,18.23
Fri,8,17323,17.45
Fri,9,18192,17.77
Fri,10,19559,17.82
Fri,11,19856,17.77
Fri,12,21025,17.95
Fri,13,22190,18.19
Fri,14,24746,19.36
Fri,15,25578,19.23
Fri,16,25646,19.81
Fri,17,28035,18.08
Fri,18,29050,17.01
Fri,19,26657,17.25
Fri,20,21168,17.67
Fri,21,21976,18.13
Fri,22,24015,17.97
Fri,23,22100,18.1
Sat,0,18612,16.8
Sat,1,14494,15.35
Sat,2,10504,15.0
Sat,3,6164,16.48
Sat,4,3253,20.14
Sat,5,1687,30.21
Sat,6,2952,24.53
Sat,7,4684,21.93
Sat,8,8106,18.52
Sat,9,12603,16.76
Sat,10,16411,15.82
Sat,11,19549,16.5
Sat,12,23597,15.84
Sat,13,23834,17.03
Sat,14,24151,17.73
Sat,15,25731,18.01
Sat,16,27628,18.18
Sat,17,27328,17.79
Sat,18,27864,17.33
Sat,19,27182,17.57
Sat,20,21616,17.58
Sat,21,22923,17.62
Sat,22,25023,17.85
Sat,23,25262,18.18
Sun,0,20957,17.19
Sun,1,16528,15.73
Sun,2,12188,15.12
Sun,3,7702,16.02
Sun,4,4074,19.27
Sun,5,1696,30.2
Sun,6,2666,27.56
Sun,7,4219,24.28
Sun,8,6606,19.21
Sun,9,10486,17.81
Sun,10,15302,16.73
Sun,11,18784,16.06
Sun,12,21326,16.88
Sun,13,22490,17.74
Sun,14,22381,19.1
Sun,15,21528,19.63
Sun,16,21876,20.17
Sun,17,21373,19.57
Sun,18,20154,18.69
Sun,19,16523,20.46
Sun,20,15058,20.75
Sun,21,14203,21.88
Sun,22,11881,23.67
Sun,23,9311,24.31
