distance_bin,trip_count,avg_fare,distance_fare_corr
0.0,66701,25.59,-0.0059
0.1,6757,18.8,-0.1221
0.2,9986,8.04,-0.0909
0.3,24372,5.79,-0.0234
0.4,47789,5.85,0.026
0.5,74123,6.31,0.0348
0.6,97498,6.82,0.0567
0.7,113815,7.38,0.0448
0.8,122917,7.97,0.0517
0.9,125918,8.53,0.0569
1.0,125832,9.1,0.0546
1.1,121402,9.63,0.0474
1.2,116149,10.17,0.0496
1.3,110631,10.71,0.0457
1.4,104582,11.25,0.045
1.5,98865,11.76,0.0394
1.6,92121,12.24,0.0371
1.7,86002,12.72,0.042
1.8,79259,13.24,0.039
1.9,73446,13.72,0.0354
2.0,67504,14.21,0.0329
2.1,62164,14.69,0.033
2.2,57342,15.16,0.0341
2.3,52727,15.63,0.0341
2.4,48101,16.11,0.0379
2.5,43836,16.6,0.0231
2.6,40850,17.1,0.0236
2.7,37226,17.52,0.0366
2.8,34119,18.07,0.023
2.9,31659,18.5,0.0235
3.0,29337,18.91,0.0333
3.1,27096,19.45,0.0241
3.2,25222,19.82,0.0116
3.3,23412,20.27,0.0249
3.4,21584,20.71,0.0155
3.5,20313,21.08,0.018
3.6,18608,21.6,0.018
3.7,17384,21.91,0.0274
3.8,16244,22.4,0.0224
3.9,15123,22.64,0.0273
4.0,14090,23.08,0.0019
4.1,13226,23.48,0.0145
4.2,12148,23.8,0.0116
4.3,11591,24.23,0.0185
4.4,10965,24.54,0.0099
4.5,10312,24.94,0.0234
4.6,9788,25.19,0.0161
4.7,9374,25.58,0.0063
4.8,8869,25.93,0.0135
4.9,8678,26.3,0.0117
5.0,8285,26.6,0.0098
5.1,7852,26.89,0.0098
5.2,7685,27.28,0.007
5.3,7303,27.66,0.0162
5.4,6858,27.99,-0.006
5.5,6542,28.34,0.0039
5.6,6298,28.73,-0.0094
5.7,5872,29.18,0.0089
5.8,5731,29.42,0.0383
5.9,5566,29.57,0.0127
6.0,5349,29.93,0.0072
6.1,5236,30.14,0.0244
6.2,5090,30.63,0.0276
6.3,4977,30.8,0.0128
6.4,4774,31.23,0.0231
6.5,4590,31.52,0.0299
6.6,4646,31.81,0.0102
6.7,4477,32.11,0.0196
6.8,4254,32.49,0.0506
6.9,4119,32.73,0.0312
7.0,4066,33.17,0.0402
7.1,3945,33.45,0.0208
7.2,3694,33.92,-0.0106
7.3,3738,34.28,0.0066
7.4,3628,34.57,0.0132
7.5,3693,34.65,-0.0069
7.6,3653,34.97,-0.0128
7.7,3655,35.35,-0.0211
7.8,3428,35.59,-0.0071
7.9,3592,35.88,0.0211
8.0,3676,36.02,-0.0081
8.1,3888,36.15,0.0205
8.2,3869,36.48,0.0101
8.3,3943,36.85,-0.0211
8.4,3976,37.24,0.0154
8.5,4117,37.44,-0.0012
8.6,4155,38.09,0.0183
8.7,4440,38.35,-0.0023
8.8,4321,38.72,0.0036
8.9,4427,39.26,0.043
9.0,4353,39.35,0.0155
9.1,4473,39.78,0.0082
9.2,4568,40.25,0.033
9.3,4641,40.62,-0.0021
9.4,4510,41.08,0.0077
9.5,4347,41.43,0.0097
9.6,4192,41.74,0.0123
9.7,4214,42.0,0.052
9.8,4061,42.62,0.0409
9.9,3844,42.86,0.0295
10.0,3843,43.15,0.0132
10.1,3760,43.61,-0.0062
10.2,3610,44.01,0.0111
10.3,3607,44.3,0.0316
10.4,3601,44.89,0.0137
10.5,3480,45.25,0.0184
10.6,3471,45.53,-0.0182
10.7,3472,45.82,0.0163
10.8,3279,46.27,0.012
10.9,3223,46.52,-0.002
11.0,3081,47.01,0.0003
11.1,2992,47.3,-0.0205
11.2,2823,47.67,-0.0072
11.3,2602,47.95,0.0073
11.4,2429,48.17,0.0035
11.5,2504,48.37,-0.0218
11.6,2404,48.96,-0.0107
11.7,2357,49.07,0.0074
11.8,2401,49.25,-0.0003
11.9,2236,49.73,-0.0053
12.0,2022,50.43,0.0014
12.1,1894,50.88,-0.0123
12.2,1773,51.96,-0.0416
12.3,1580,52.02,-0.022
12.4,1455,52.95,0.0017
12.5,1315,53.1,0.0075
12.6,1306,53.29,-0.0032
12.7,1197,54.07,-0.0713
12.8,1093,54.47,-0.0233
12.9,1074,55.23,0.0008
13.0,1055,55.55,0.0384
13.1,995,55.94,0.026
13.2,937,56.11,0.0271
13.3,905,57.22,-0.0266
13.4,912,57.33,-0.0379
13.5,946,57.23,-0.017
13.6,828,57.97,-0.0409
13.7,852,58.25,-0.0381
13.8,920,58.07,-0.037
13.9,908,59.1,0.0119
14.0,925,59.13,-0.0289
14.1,829,59.0,-0.0429
14.2,882,60.57,-0.0381
14.3,857,60.39,-0.0094
14.4,898,60.19,-0.0603
14.5,855,60.38,0.0038
14.6,940,61.33,-0.0079
14.7,887,61.27,-0.0305
14.8,898,61.24,-0.0034
14.9,906,61.99,-0.0612
15.0,912,61.82,-0.0593
15.1,982,62.41,-0.0265
15.2,921,63.1,0.0217
15.3,999,63.48,-0.0483
15.4,1032,64.12,-0.0453
15.5,1025,63.83,-0.0017
15.6,1011,64.54,-0.0409
15.7,1096,65.49,-0.0636
15.8,1111,66.13,0.0235
15.9,1174,66.55,-0.0644
16.0,1269,66.99,-0.0128
16.1,1296,67.26,-0.0147
16.2,1469,68.0,-0.009
16.3,1591,68.8,0.001
16.4,1789,69.02,-0.0055
16.5,1889,69.11,-0.0264
16.6,2075,69.85,0.0002
16.7,2213,69.82,0.0079
16.8,2426,69.9,0.0165
16.9,2685,70.19,-0.0025
17.0,2826,70.28,0.0081
17.1,3034,70.47,0.0257
17.2,3310,70.38,-0.0329
17.3,3399,70.63,0.005
17.4,3518,70.63,0.0016
17.5,3581,70.86,0.0438
17.6,3609,71.11,-0.0023
17.7,3537,70.93,0.0027
17.8,3620,70.92,-0.0091
17.9,3481,70.89,0.0176
18.0,3383,71.16,0.0072
18.1,3288,71.2,-0.0025
18.2,3168,71.27,-0.0021
18.3,2939,71.13,-0.0097
18.4,2785,71.34,-0.0182
18.5,2619,71.54,-0.0007
18.6,2557,71.21,-0.0064
18.7,2485,71.44,0.0
18.8,2195,71.49,-0.0202
18.9,2118,71.56,0.0151
19.0,2000,71.79,0.0164
19.1,1915,71.69,-0.0075
19.2,1829,71.89,-0.0344
19.3,1706,72.48,0.0165
19.4,1592,72.52,0.0336
19.5,1558,72.02,-0.0315
19.6,1468,73.08,0.0184
19.7,1412,73.15,0.0308
19.8,1303,73.26,-0.0378
19.9,1359,73.07,0.0115
20.0,30378,89.91,0.0408
