pickup_hour,hour_revenue,revenue_rank
17,4484362.179999994,1
16,4421529.560000003,2
18,4361090.240000009,3
15,4271110.030000005,4
14,4157907.5300000096,5
19,3906230.1300000176,6
13,3694523.9500000086,7
21,3533936.3099999945,8
20,3469064.0799999903,9
12,3455546.060000005,10
22,3263941.5499999924,11
11,3143167.2000000146,12
10,2953171.2700000065,13
9,2731800.910000009,14
23,2618241.799999996,15
8,2460905.7300000163,16
7,1837409.4700000077,17
0,1836556.8700000027,18
1,1128778.5600000012,19
6,1046710.1200000047,20
2,744087.0000000021,21
5,587871.5800000015,22
3,539548.0600000008,23
4,446860.6400000007,24
