PULocationID,pickup_hour,payment_desc,trip_count,payment_share_pct
161,18,Credit card,11509,83.06
161,17,Credit card,10825,82.58
161,19,Credit card,9787,83.77
236,15,Credit card,9776,81.22
237,14,Credit card,9691,81.73
237,15,Credit card,9279,81.52
161,16,Credit card,9132,81.60
237,17,Credit card,8537,82.97
162,18,Credit card,8524,84.69
237,16,Credit card,8496,82.65
236,17,Credit card,8447,82.07
237,18,Credit card,8438,82.17
236,14,Credit card,8409,80.52
237,13,Credit card,8402,80.30
132,16,Credit card,8355,74.82
236,12,Credit card,8347,81.31
161,15,Credit card,8323,80.63
236,16,Credit card,8312,82.78
237,12,Credit card,8238,80.14
161,14,Credit card,8076,80.06
236,18,Credit card,8021,82.72
161,20,Credit card,7928,82.05
236,13,Credit card,7793,80.92
162,17,Credit card,7657,85.59
236,11,Credit card,7611,81.87
237,11,Credit card,7443,81.66
132,21,Credit card,7376,74.43
132,17,Credit card,7369,73.09
161,21,Credit card,7344,80.74
132,22,Credit card,7307,74.56
236,10,Credit card,7231,83.47
161,13,Credit card,7183,78.68
237,19,Credit card,7133,82.87
230,21,Credit card,7053,75.90
162,19,Credit card,7012,86.39
132,19,Credit card,7001,71.21
230,22,Credit card,6977,76.23
236,9,Credit card,6972,85.25
132,20,Credit card,6889,72.85
236,8,Credit card,6794,86.69
142,18,Credit card,6710,83.98
142,22,Credit card,6701,81.67
132,15,Credit card,6678,71.85
132,23,Credit card,6592,71.33
142,21,Credit card,6550,83.24
161,12,Credit card,6333,77.41
237,10,Credit card,6324,81.33
230,18,Credit card,6276,78.38
163,18,Credit card,6194,82.32
230,17,Credit card,6153,78.07
237,20,Credit card,6056,83.14
142,17,Credit card,6041,83.37
132,14,Credit card,5982,73.28
138,14,Credit card,5906,86.48
162,16,Credit card,5902,84.80
163,17,Credit card,5848,83.63
237,9,Credit card,5814,84.29
132,18,Credit card,5809,68.93
237,21,Credit card,5731,85.44
138,19,Credit card,5726,86.35
186,18,Credit card,5683,82.14
186,17,Credit card,5662,84.53
162,20,Credit card,5652,85.35
186,21,Credit card,5584,85.79
142,19,Credit card,5548,84.86
