PULocationID,DOLocationID,trip_count,avg_fare,total_revenue,pair_rank
237,236,21883,8.91,241483.51,1
236,237,19402,9.3,222381.04,2
236,236,15955,7.27,143620.3,3
237,237,14938,7.86,143576.19,4
161,237,10275,9.88,124696.53,5
142,239,8980,8.07,91000.95,6
237,161,8834,9.79,105381.94,7
161,236,8766,13.91,147659.52,8
239,142,8675,7.94,85841.85,9
239,238,8445,7.23,76881.93,10
141,236,7803,9.25,88351.45,11
237,162,7604,9.31,87234.85,12
264,264,7381,21.79,185424.43,13
132,132,7252,31.03,246050.6,14
236,161,7115,14.27,121459.44,15
186,230,7085,11.84,100413.25,16
142,238,7073,10.19,88794.95,17
238,239,7007,7.19,63194.05,18
236,141,6930,9.69,81942.13,19
236,239,6808,10.22,85604.91,20
237,141,6668,7.88,65009.19,21
263,236,6574,6.82,56090.38,22
236,238,6385,10.19,79614.89,23
263,141,6303,7.53,59055.84,24
162,237,6301,9.51,73847.97,25
239,236,6135,10.71,80349.17,26
140,236,6099,10.75,79541.77,27
161,161,6063,10.73,76609.96,28
142,237,6059,10.41,77177.0,29
186,161,6056,12.34,90172.54,30
141,237,6022,7.82,57901.79,31
237,142,6016,10.56,77787.35,32
132,265,6011,102.97,681708.4,33
142,236,5971,13.45,97313.36,34
230,186,5944,9.7,69309.59,35
262,236,5881,8.17,59093.83,36
132,230,5859,70.33,471365.33,37
239,239,5808,8.27,58774.46,38
237,263,5691,9.5,66375.12,39
237,140,5598,9.13,62206.38,40
236,262,5598,8.35,57907.61,41
236,142,5578,13.0,87709.37,42
236,263,5569,7.17,49649.7,43
238,142,5525,10.11,68532.18,44
236,162,5473,13.7,90136.88,45
162,236,5465,13.49,89522.92,46
138,230,5442,47.19,314180.32,47
142,142,5422,9.3,60276.54,48
163,236,5383,12.43,81664.74,49
161,164,5315,9.26,59953.08,50
161,234,5275,11.4,73551.21,51
186,170,5260,10.66,68048.71,52
163,237,5239,8.87,57482.67,53
238,236,5213,10.19,64737.17,54
236,140,5190,11.32,70781.53,55
48,68,5187,8.56,54717.48,56
141,141,5156,8.77,54021.63,57
140,237,5068,9.18,56775.68,58
141,263,5016,8.15,50619.64,59
161,163,4963,8.82,53452.52,60
236,75,4936,7.72,46356.44,61
107,170,4906,8.33,50674.35,62
161,141,4892,11.9,70647.48,63
48,48,4760,10.85,60280.5,64
163,161,4742,8.3,48102.07,65
239,143,4716,7.9,46337.78,66
161,230,4685,9.49,53191.59,67
237,239,4675,12.57,71794.4,68
161,170,4667,9.42,53913.96,69
234,170,4660,8.88,51551.63,70
162,141,4649,9.97,56995.47,71
186,234,4642,8.58,49292.7,72
161,186,4625,11.82,66131.66,73
161,142,4617,11.97,67231.57,74
142,48,4568,8.44,47368.6,75
237,229,4531,9.86,54578.11,76
162,170,4491,8.51,47063.35,77
142,161,4467,11.37,61482.5,78
79,79,4424,9.48,49682.01,79
140,263,4341,8.55,45802.99,80
237,163,4331,9.25,49121.94,81
230,142,4283,9.74,51152.26,82
238,238,4273,8.57,43681.3,83
237,262,4269,11.37,59005.36,84
263,237,4268,9.69,50567.86,85
142,143,4267,7.44,39325.29,86
142,163,4232,7.89,41217.72,87
140,262,4223,7.83,41134.31,88
230,246,4212,11.75,59959.53,89
164,161,4192,9.43,48122.58,90
230,161,4179,8.85,44668.04,91
68,68,4178,10.89,53685.5,92
230,230,4156,16.43,77217.38,93
141,229,4154,8.61,43982.05,94
68,48,4120,10.65,52823.73,95
229,237,4088,9.74,48501.74,96
161,229,4066,8.94,44569.58,97
161,162,4059,8.17,40709.59,98
239,237,4015,12.49,60893.73,99
163,142,3978,8.59,42296.1,100
