VendorID,pickup_hour,revenue,trips,rn
1,17,1015105.97,50068,1
1,16,1012609.03,46988,2
1,15,1007554.38,47854,3
1,14,1005689.8,46892,4
1,18,963295.64,50114,5
1,13,911100.28,44025,6
1,12,859257.46,42395,7
1,19,815509.3,41863,8
1,11,799921.12,39037,9
1,10,747145.35,36698,10
1,9,715079.8,35062,11
1,20,706658.24,35737,12
1,21,705273.1,35592,13
1,8,668171.23,33045,14
1,22,634999.0,30733,15
1,7,525000.55,25237,16
1,23,503021.34,22958,17
1,0,353274.18,16692,18
1,6,325935.77,13605,19
1,1,228914.3,11477,20
1,5,174740.45,5860,21
1,2,158258.47,8303,22
1,3,111801.38,5496,23
1,4,103679.09,4001,24
2,17,3467324.93,156156,1
2,16,3408698.38,143179,2
2,18,3398245.68,162654,3
2,15,3262274.32,141484,4
2,14,3152653.2,135994,5
2,19,3090524.4,142166,6
2,21,2828493.46,125293,7
2,13,2783892.67,125870,8
2,20,2762168.4,124247,9
2,22,2628821.06,112526,10
2,12,2595620.22,122146,11
2,11,2342772.75,111495,12
2,10,2205798.32,102072,13
2,23,2115123.49,86324,14
2,9,2015740.96,93887,15
2,8,1792273.46,84154,16
2,0,1482920.64,62395,17
2,7,1311740.45,58468,18
2,1,899719.86,42146,19
2,6,720147.96,27810,20
2,2,585720.46,29212,21
2,3,427685.27,19314,22
2,5,412971.13,12900,23
2,4,343132.3,12740,24
6,16,1963.56,34,1
6,17,1857.84,33,2
6,15,1208.03,21,3
6,18,970.32,20,4
6,9,936.65,21,5
6,14,695.51,12,6
6,7,633.68,14,7
6,12,612.64,18,8
6,6,608.21,14,9
6,8,422.47,10,10
6,11,396.19,10,11
6,13,321.43,8,12
6,0,307.34000000000003,7,13
6,10,272.52,8,14
6,20,180.12,5,15
6,19,150.45,3,16
6,5,139.87,4,17
6,23,125.87,5,18
6,1,118.31,4,19
6,21,92.11,3,20
6,2,72.22,2,21
6,3,40.69,1,22
6,22,34.46,2,23
6,4,33.34,1,24
